"time","p_L","p_A","p_M","pi_t","avg_vulnerability","n_disasters","disaster_severity","n_migrations","scenario","replication"
48,0.09,0.71,0.2,0.0159063917118147,0,1,0,0,"High Risk, Low Adaptation",1
49,0.09,0.71,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
50,0.08,0.72,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
51,0.06,0.74,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
52,0.07,0.73,0.2,0.00757724126786081,0,1,0,0,"High Risk, Low Adaptation",1
53,0.06,0.74,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
54,0.09,0.71,0.2,0.00757724126786081,0,1,0,0,"High Risk, Low Adaptation",1
55,0.09,0.71,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
56,0.07,0.73,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
57,0.12,0.68,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
58,0.13,0.67,0.2,0.0229773699100256,0,1,0,0,"High Risk, Low Adaptation",1
59,0.09,0.71,0.2,0.02758528222679,0,1,0,0,"High Risk, Low Adaptation",1
60,0.07,0.73,0.2,0.0132228217523051,0,1,0,0,"High Risk, Low Adaptation",1
61,0.07,0.73,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
62,0.07,0.73,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
63,0.08,0.72,0.2,0.00912563738918052,0,1,0,0,"High Risk, Low Adaptation",1
64,0.13,0.67,0.2,0.0109869426305932,0,1,0,0,"High Risk, Low Adaptation",1
65,0.12,0.68,0.2,0.02758528222679,0,1,0,0,"High Risk, Low Adaptation",1
66,0.13,0.67,0.2,0.0229773699100256,0,1,0,0,"High Risk, Low Adaptation",1
67,0.14,0.66,0.2,0.02758528222679,0,1,0,0,"High Risk, Low Adaptation",1
68,0.2,0.6,0.2,0.0330859783887041,0.0135051055892292,2,0.0682551055892292,0,"High Risk, Low Adaptation",1
69,0.14,0.66,0.2,0.0953494648991095,0.00103188819865365,2,0,0,"High Risk, Low Adaptation",1
70,0.14,0.66,0.2,0.0330859783887041,0,2,0,0,"High Risk, Low Adaptation",1
71,0.14,0.66,0.2,0.0330859783887041,0,2,0,0,"High Risk, Low Adaptation",1
72,0.12,0.68,0.2,0.0330859783887041,0,2,0,0,"High Risk, Low Adaptation",1
73,0.12,0.68,0.2,0.0229773699100256,0,2,0,0,"High Risk, Low Adaptation",1
74,0.14,0.66,0.2,0.0229773699100256,0,2,0,0,"High Risk, Low Adaptation",1
75,0.11,0.69,0.2,0.0330859783887041,0,2,0,0,"High Risk, Low Adaptation",1
76,0.13,0.67,0.2,0.0191240367508889,0,2,0,0,"High Risk, Low Adaptation",1
77,0.14,0.66,0.2,0.02758528222679,0,2,0,0,"High Risk, Low Adaptation",1
78,0.1,0.7,0.2,0.0330859783887041,0,2,0,0,"High Risk, Low Adaptation",1
79,0.06,0.74,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
80,0.08,0.72,0.2,0.00757724126786081,0,2,0,0,"High Risk, Low Adaptation",1
81,0.1,0.7,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
82,0.06,0.74,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
83,0.08,0.72,0.2,0.00757724126786081,0,2,0,0,"High Risk, Low Adaptation",1
84,0.07,0.73,0.2,0.0109869426305932,0,2,0,0,"High Risk, Low Adaptation",1
85,0.09,0.71,0.2,0.00912563738918052,0,2,0,0,"High Risk, Low Adaptation",1
86,0.1,0.7,0.2,0.0132228217523051,0,2,0,0,"High Risk, Low Adaptation",1
87,0.1,0.7,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
88,0.12,0.68,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
89,0.1,0.7,0.2,0.0229773699100256,0,2,0,0,"High Risk, Low Adaptation",1
90,0.07,0.73,0.2,0.0159063917118147,0,2,0,0,"High Risk, Low Adaptation",1
91,0.07,0.73,0.2,0.00912563738918052,0,2,0,0,"High Risk, Low Adaptation",1
92,0.08,0.72,0.2,0.00912563738918052,0,2,0,0,"High Risk, Low Adaptation",1
